id,subcategory,title,price,popularity
3992,tablet,Dell  Venue 7,6800,311
4244,smart-watches,Sony SmartWatch 2 SW2,8680,311
6719,tablet,Ambrane A7 Plus,2422,310
2716,tablet,Datawind UbiSlate 7C Plus,2746,309
4792,mobile,Oppo Neo 3 R831K,8100,309
4757,mobile,Philips  Xenium W6610,9999,308
5545,mobile,Xolo Play 8X-1020,9890,308
3329,mobile,Micromax Canvas Fun A63,4199,307
5181,mobile,Asus Padfone Mini,13499,306
1780,mobile,Blackberry Curve 9220,9065,305
2443,tablet,Apple iPad 4 16GB (Wi-Fi 4G),28582,304
4319,mobile,Micromax Canvas Entice A105,5490,304
6757,mobile,Xolo Hive 5.0,12045,303
3082,tablet,Asus  Google Nexus 7,15889,303
3397,tablet,IBall  Edu-Slide 3G Q1035,13999,303
5522,mobile,Videocon  Infinium Z45 Nova,4790,303
4704,mobile,Philips W3500,4662,302
5697,mobile,Spice  Mi-501,3999,302
6112,mobile,Vivo  X Shot X710,21690,300
3631,tablet,HCL Me Champ 4GB (Wi-Fi 3G),4299,299
2926,mobile,Micromax Canvas Music A88,5999,298
4177,mobile,Karbonn A25 Plus,5990,298
5295,tablet,IBall Slide Octa A41 (16GB Wi-Fi 3G),11629,298
3020,mobile,Lenovo A706,6599,297
755,mobile,Samsung Metro C3530,3907,296
1959,mobile,Samsung Galaxy Chat,8620,296
4133,mobile,IBall Andi 4.5P Glitter,4899,296
5846,mobile,Intex  Aqua Desire,11000,295
3227,tablet,Videocon VA75,3824,294
5349,mobile,T-Series T12,1000,294
3979,mobile,Alcatel One Touch Idol X 6040D,8999,293
4575,mobile,Swipe Konnect 4e,2124,293
1421,mobile,Samsung Galaxy S Plus I9001,8200,292
6472,mobile,Cheers C21,1359,292
4023,tablet,Micromax Funbook Ultra HD P580,8499,291
4707,mobile,ZTE Grand X2,5290,291
1671,mobile,Motorola Atrix 2,18907,290
1774,tablet,Micromax  Funbook,5499,290
3860,mobile,Micromax X457,2392,290
5800,mobile,Intex Feel,1869,290
6582,mobile,Spice Stellar 526n Octa,6499,288
5755,mobile,Spice Mi-401,2599,287
7238,mobile,Celkon Millennia Q519,4299,287
1510,mobile,BlackBerry Bold 9790,17999,287
5258,mobile,IBall  Andi 4H Tiger Plus,4120,287
6260,mobile,Xolo LT2000,9900,286
3550,mobile,Gionee CTRL V3,8399,285
4368,tablet,Samsung Galaxy Tab 4 7.0,12732,285
6174,mobile,LG  G2 4G,25463,284
1762,mobile,Nokia PureView 808,25184,283
1829,tablet,HCL  ME Tablet U1,4999,283
4976,mobile,Oppo R5,24400,283
3665,mobile,Karbon Titanium S7,14000,282
4794,mobile,Lava Spark 252,1499,282
4568,mobile,Karbonn Titanium S19,7400,281
5916,mobile,Spice MI-6115,2599,281
3001,mobile,HTC One Max,33499,280
3690,mobile,Micromax Bolt A61,3599,280
4423,mobile,Micromax Canvas HD A190,9649,280
4812,mobile,Panasonic Gd25C,2274,280
4651,mobile,Spice Stellar 449 3G,4099,278
4719,tablet,Microsoft Surface Pro 3,81399,278
6943,mobile,Spice Stellar 519,7799,278
5807,mobile,Spice  Mi-511,4999,277
6023,mobile,Zen  402 Sport,4106,277
7032,fitness-tracker,Sony SWR110 Smartband,990,276
5751,mobile,Xolo Q520s,4299,275
5115,mobile,Karbonn Titanium S4 Plus,3750,275
2994,mobile,HTC One Mini,32150,274
3339,mobile,IBall Andi 4a Projector,15460,274
3750,mobile,Micromax Bolt A47,4500,274
7411,mobile,HTC Desire 326G Plus,9800,274
5914,mobile,Videocon  Z40 Lite,2549,273
4736,mobile,Lava Iris 352 Flair,4099,272
6391,mobile,jivi JV C300,800,270
2854,tablet,Simmtronics Xpad X802,4049,270
4346,mobile,Huawei Ascend Y511,7320,270
4592,mobile,Spice Stellar 361,2586,270
2418,mobile,LG Optimus L9,9024,269
4374,smart-watches,Motorola Moto 360,12999,269
4499,mobile,Spice Stellar 526,7500,269
4688,mobile,Spice Gaming X-2,1400,269
3760,mobile,Lenovo Vibe X,14399,268
5772,mobile,IBall Avonte 2.4G,1099,268
1430,mobile,HTC Explorer,5719,267
2238,mobile,Micromax X455i,2300,267
4132,mobile,Micromax Bolt A69,5010,267
2658,mobile,Maxx AX8 Note I,6238,266
2813,mobile,Micromax Canvas 3D A115,8999,266
3050,mobile,Karbonn Titanium S6,8990,266
3475,tablet,Micromax  Funbook Mini P410,5888,265
3841,mobile,Micromax Bolt A66,3569,265
3993,tablet,HP  Slate 6 Voice Tab,9450,265
4110,mobile,Lenovo S930,11644,263
